dataset,agent_type,provider,model,instance_idx,resolved,num_steps,success,has_output
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0000,0,0,0,False
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0001,0,0,0,False
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0002,1,62,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0003,0,66,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0004,1,46,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0005,1,64,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0006,1,66,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0007,0,72,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0008,1,48,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0009,1,46,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0010,1,60,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0011,1,42,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0012,0,64,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0013,0,68,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0014,0,66,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0015,1,62,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0016,1,54,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0017,0,72,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0018,0,0,0,False
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-20250514,0019,0,0,0,False
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0000,0,58,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0001,0,70,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0002,1,56,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0003,1,46,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0004,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0005,1,48,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0006,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0007,0,66,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0008,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0009,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0010,1,54,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0011,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0012,1,46,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0013,1,62,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0014,0,66,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0015,1,50,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0016,1,46,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0017,0,0,0,False
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0018,1,56,0,True
swebench-verified,multi-agent-centralized,anthropic,claude-sonnet-4-5-20250929,0019,0,82,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0000,0,18,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0001,0,78,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0002,0,64,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0003,1,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0004,0,50,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0005,0,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0006,0,48,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0007,0,54,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0008,1,28,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0009,1,30,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0010,0,66,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0011,1,46,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0012,0,76,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0013,0,58,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0014,0,46,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0015,0,6,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0016,1,28,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0017,0,44,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0018,0,6,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.0-flash,0019,0,30,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0000,0,30,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0001,0,100,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0002,0,78,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0003,1,16,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0004,1,20,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0005,0,66,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0006,0,96,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0007,0,150,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0008,1,28,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0009,1,16,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0010,0,100,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0011,1,58,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0012,1,12,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0013,0,0,0,False
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0014,0,22,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0015,0,14,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0016,1,32,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0017,0,80,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0018,0,68,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-flash,0019,0,0,0,False
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0000,0,36,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0001,1,50,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0002,1,64,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0003,1,36,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0004,1,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0005,1,24,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0006,0,82,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0007,0,38,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0008,1,38,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0009,1,12,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0010,0,0,0,False
